transaction_id,run_id,pool_id,amount,timestamp,beneficiary,country,account_id
T001,R01,PAYMENTS,5000,2026-09-01 10:00:00,B01,PK,A1
T002,R01,PAYMENTS,5500,2026-09-01 10:10:00,B02,PK,A1
T003,R01,PAYMENTS,4900,2026-09-01 10:20:00,B03,PK,A2
T004,R02,PAYMENTS,850000,2026-09-01 02:10:00,B99,PK,A1
T005,R02,PAYMENTS,5300,2026-09-01 11:00:00,B04,PK,A2
T006,R03,VENDORS,12000,2026-09-02 12:00:00,V01,PK,A3
T007,R03,VENDORS,11800,2026-09-02 12:10:00,V01,PK,A3
T008,R03,VENDORS,12000,2026-09-02 12:00:00,V01,PK,A3
T009,R04,VENDORS,9000000,2026-09-03 03:30:00,V77,AE,A3
T010,R04,VENDORS,,2026-09-03 09:00:00,V02,PK,A4
